Num steps: 1910000   Return: 1104.0   Time: 2:23:20
Num steps: 1915000   Return: 1083.8   Time: 2:23:41
Num steps: 1920000   Return: 1071.6   Time: 2:24:07
Num steps: 1925000   Return: 1048.7   Time: 2:24:29
Num steps: 1930000   Return: 993.9   Time: 2:24:50
Num steps: 1935000   Return: 1124.4   Time: 2:25:12
Num steps: 1940000   Return: 1070.6   Time: 2:25:34
Num steps: 1945000   Return: 1094.9   Time: 2:25:55
Num steps: 1950000   Return: 1146.0   Time: 2:26:20
Num steps: 1955000   Return: 1169.9   Time: 2:26:42
Num steps: 1960000   Return: 1185.5   Time: 2:27:03
Num steps: 1965000   Return: 1151.3   Time: 2:27:30
Num steps: 1970000   Return: 1061.5   Time: 2:27:52
Num steps: 1975000   Return: 1178.1   Time: 2:28:13
Num steps: 1980000   Return: 1147.3   Time: 2:28:35
Num steps: 1985000   Return: 1123.5   Time: 2:28:56
Num steps: 1990000   Return: 1160.6   Time: 2:29:18
Num steps: 1995000   Return: 1198.1   Time: 2:29:39
Num steps: 2000000   Return: 1175.3   Time: 2:30:05
Num steps: 2005000   Return: 1206.3   Time: 2:30:27
Num steps: 2010000   Return: 1174.5   Time: 2:30:54
Num steps: 2015000   Return: 1221.5   Time: 2:31:15
Num steps: 2020000   Return: 1151.2   Time: 2:31:37
Num steps: 2025000   Return: 1210.9   Time: 2:31:59
Num steps: 2030000   Return: 1176.1   Time: 2:32:20
Num steps: 2035000   Return: 1201.9   Time: 2:32:42
Num steps: 2040000   Return: 1210.4   Time: 2:33:03
Num steps: 2045000   Return: 1195.3   Time: 2:33:25
Num steps: 2050000   Return: 1226.3   Time: 2:33:51
Num steps: 2055000   Return: 1231.4   Time: 2:34:17
Num steps: 2060000   Return: 1235.9   Time: 2:34:38
Num steps: 2065000   Return: 1177.2   Time: 2:35:00
Num steps: 2070000   Return: 1082.3   Time: 2:35:22
Num steps: 2075000   Return: 1248.0   Time: 2:35:43
Num steps: 2080000   Return: 1226.4   Time: 2:36:05
Num steps: 2085000   Return: 1285.7   Time: 2:36:26
Num steps: 2090000   Return: 1232.6   Time: 2:36:48
